Amelia Nixon,Male,2017,10001,Bachelors,Samsung Electronics,Bangalore,3,34,No,0,0
Clara Hicks,Female,2013,10002,Bachelors,Microsoft,Pune,1,28,No,3,1
Mason Brown,Female,2014,10003,Bachelors,Alphabet,New Delhi,3,38,No,2,0
Michael Rice,Male,2016,10004,Masters,Apple,Bangalore,3,27,No,5,1
Eleanor Ritter,Male,2017,10005,Masters,Ferrari,Pune,3,24,Yes,2,1
Sofia Wise,Male,2016,10006,Bachelors,IBM,Bangalore,3,22,No,0,0
Nevaeh Perry,Male,2015,10007,Bachelors,Adobe,New Delhi,3,38,No,0,0
Addison Combs,Female,2016,10008,Bachelors,Costco Wholesale,Bangalore,3,34,No,2,1
Ashley Wilson,Male,2016,10009,Bachelors,BMW Group,Pune,3,23,No,1,0
Levi Burns,Male,2017,10010,Masters,Cisco Systems,New Delhi,2,37,No,2,0
Jonah Smith,Male,2012,10011,Masters,AIRBUS,Bangalore,3,27,No,5,1
Bella Small,Male,2016,10012,Bachelors,Adidas,Pune,3,34,No,3,0
Eli Wilson,Male,2018,10013,Bachelors,Lockheed Martin,Pune,3,32,Yes,5,1
Samantha Flores,Male,2016,10014,Bachelors,Rolex,Bangalore,3,39,No,2,0
Riley Jones,Male,2012,10015,Bachelors,Dell Technologies,Bangalore,3,37,No,4,0
Jake Glover,Male,2017,10016,Bachelors,Rossmann,Bangalore,1,29,No,3,0
Marcus Hess,Female,2014,10017,Bachelors,PayPal,Bangalore,3,34,No,2,0
London Rodriguez,Male,2014,10018,Bachelors,Delta Air Lines,Pune,3,34,No,4,0
Adrian Smith,Female,2015,10019,Bachelors,Bosch,Pune,2,30,No,0,1
Kaiden Powell,Female,2016,10020,Bachelors,Nike,New Delhi,2,22,No,0,1
Carlos Smith,Male,2012,10021,Bachelors,Honda Motor,Bangalore,3,37,No,0,0
Ivy Freeman,Male,2017,10022,Masters,Sony,New Delhi,2,28,No,4,0
Jackson Alexander,Male,2017,10023,Bachelors,Lego Group,New Delhi,2,36,No,3,0
Ryan Crosby,Male,2015,10024,Bachelors,Decathlon,Bangalore,3,27,Yes,5,0
Lily Williams,Male,2017,10025,Bachelors,Pfizer,Bangalore,3,29,No,4,0
Nicholas Esparza,Female,2013,10026,Bachelors,Dr. Oetker,Bangalore,3,22,Yes,0,0
Isaiah Little,Male,2016,10027,Bachelors,Mercedes-Benz Group,Bangalore,3,37,No,2,0
Adam Strickland,Male,2015,10028,Bachelors,Marriott International,Bangalore,3,23,No,1,0
Lillian Mcclain,Female,2013,10029,Bachelors,DM,Pune,2,31,No,2,1
Mason Miller,Female,2017,10030,Masters,Puma,New Delhi,2,30,No,2,0
Austin Johnson,Male,2013,10031,PHD,IKEA,New Delhi,3,25,No,3,0
Robert Chandler,Male,2014,10032,Bachelors,Intel,Bangalore,3,23,No,1,0
Eliana Stephenson,Male,2018,10033,Bachelors,Fraunhofer Society,Bangalore,3,26,No,4,1
Valeria Vaughan,Male,2016,10034,Bachelors,Siemens,Bangalore,3,40,No,5,0
Emily Robbins,Female,2017,10035,Bachelors,Dassault Group,Pune,2,37,No,0,1
Nicole Freeman,Female,2014,10036,Bachelors,L'Oréal,Bangalore,1,30,No,3,0
Addison Gomez,Male,2012,10037,Bachelors,Electricite de France,New Delhi,3,29,No,3,0
Luke Miller,Female,2018,10038,Bachelors,Amazon,New Delhi,2,34,No,0,1
Charles Parrish,Female,2017,10039,Bachelors,Carl-Zeiss-Stiftung,Pune,2,29,No,2,1
Austin Harris,Male,2014,10040,Bachelors,Chanel,Pune,3,30,Yes,4,0
Olivia Wong,Male,2015,10041,Bachelors,Volkswagen Group,Bangalore,3,36,No,1,0
Julia Davis,Male,2017,10042,Masters,Enel,New Delhi,2,23,No,1,0
Jessica Daniels,Male,2013,10043,Bachelors,San Miguel,Bangalore,3,30,No,3,1
Ella Ward,Male,2014,10044,Bachelors,3M,Bangalore,3,36,No,0,0
Emma Cook,Male,2015,10045,Bachelors,Mastercard,Pune,3,39,No,4,0
Violet Hernandez,Female,2014,10046,Bachelors,Kärcher,Bangalore,3,23,No,1,0
Jason Smith,Male,2012,10047,PHD,Erste Group Bank,New Delhi,3,27,No,5,0
Abigail Hall,Male,2013,10048,Masters,KB Financial Group,New Delhi,3,35,No,2,0
Izabella Miller,Male,2017,10049,Masters,Prada,New Delhi,2,34,No,0,0
Aiden Hines,Female,2013,10050,Bachelors,Roche Holding,Bangalore,3,30,No,1,0
William Johnson,Male,2017,10051,PHD,Netflix,New Delhi,3,34,No,2,0
